=== 시트1: 값 변경됨 (기존 값 덮어씌워진 것, 즉시 확인 필요) ===
catalog_section,modelName,label,기존값(원본),현재값(확충후),올바른값(직접입력)
XPANEL 카탈로그,XT07CD-DN,화면 크기,7" (17.8 cm),7" Color TFT,
XPANEL 카탈로그,XT07CD-DN,해상도,800 × 480 (WVGA),800 × 480,
XPANEL 카탈로그,XT07CD-DN,색상,65,536색 (16 bit),65K Colors,
XPANEL 카탈로그,XT07CD-DN,소비전력,약 13 W,6W,
XPANEL 카탈로그,XT07CD-DN,입력 전원,DC 24V (±15%),DC 24V,
XPANEL 카탈로그,XT07CD-DE,화면 크기,7" (17.8 cm),7" Color TFT,
XPANEL 카탈로그,XT07CD-DE,해상도,800 × 480 (WVGA),800 × 480,
XPANEL 카탈로그,XT07CD-DE,색상,65,536색 (16 bit),65K Colors,
XPANEL 카탈로그,XT07CD-DE,소비전력,약 13 W,6W,
XPANEL 카탈로그,XT07CD-DE,입력 전원,AC 100-240V,DC 24V,
XPANEL 카탈로그,XT10CD-D,화면 크기,10.4" (26.4 cm),10.4" Color TFT,
XPANEL 카탈로그,XT10CD-D,해상도,800 × 600 (SVGA),800 × 600,
XPANEL 카탈로그,XT10CD-D,색상,262,144색 (18 bit),262K Colors,
XPANEL 카탈로그,XT10CD-D,소비전력,약 15 W,9W,
XPANEL 카탈로그,XT10CD-D,입력 전원,DC 24V (±15%),DC 24V,
XPANEL 카탈로그,XT10CD-A,화면 크기,10.4" (26.4 cm),10.4" Color TFT,
XPANEL 카탈로그,XT10CD-A,해상도,800 × 600 (SVGA),800 × 600,
XPANEL 카탈로그,XT10CD-A,색상,262,144색 (18 bit),262K Colors,
XPANEL 카탈로그,XT10CD-A,오디오,오디오 포트 내장,없음,
XPANEL 카탈로그,XT10CD-A,입력 전원,DC 24V (±15%),AC 100~240V,
XPANEL 카탈로그,iXT10CD-A,입력 전원,DC 24V (±15%),AC 100~240V,
XPANEL 카탈로그,iXT12CD-A,입력 전원,DC 24V (±15%),AC 100~240V,
XPANEL 카탈로그,iXT15CD-A,입력 전원,DC 24V (±15%),AC 100~240V,

=== 시트2: 신규 추가된 catalog 항목 (확충시 추가, 검증 필요) ===
catalog_section,modelName,label,현재값,올바른값(직접입력_맞으면그대로_틀리면수정_없는항목이면DELETE)
CM1 PLC 카탈로그,CM1-XP2E,동작 온도,-10~65°C,
CM1 PLC 카탈로그,CM1-XP2E,보존 온도,-25~80°C,
CM1 PLC 카탈로그,CM1-XP2E,상대 습도,5~95%RH (비결로),
CM1 PLC 카탈로그,CM1-XP2E,보호 등급,IP20,
CM1 PLC 카탈로그,CM1-XP3E,연산 방식,반복 연산,
CM1 PLC 카탈로그,CM1-XP3E,프로그램 언어,LD, IL, SFC, FBD (IEC 61131-3),
CM1 PLC 카탈로그,CM1-XP3E,내장 시리얼,RS-232C 1ch (프로그래밍용),
CM1 PLC 카탈로그,CM1-XP3E,동작 온도,-10~65°C,
CM1 PLC 카탈로그,CM1-XP3E,보존 온도,-25~80°C,
CM1 PLC 카탈로그,CM1-XP3E,상대 습도,5~95%RH (비결로),
CM1 PLC 카탈로그,CM1-XP3E,보호 등급,IP20,
CM1 PLC 카탈로그,CM1-XP1S,연산 방식,반복 연산,
CM1 PLC 카탈로그,CM1-XP1S,프로그램 언어,LD, IL, SFC, FBD (IEC 61131-3),
CM1 PLC 카탈로그,CM1-XP1S,내장 시리얼,RS-232C 1ch (프로그래밍용),
CM1 PLC 카탈로그,CM1-XP1S,동작 온도,-10~65°C,
CM1 PLC 카탈로그,CM1-XP1S,보존 온도,-25~80°C,
CM1 PLC 카탈로그,CM1-XP1S,상대 습도,5~95%RH (비결로),
CM1 PLC 카탈로그,CM1-XP1S,보호 등급,IP20,
CM1 PLC 카탈로그,CM1-XP1R,연산 방식,반복 연산,
CM1 PLC 카탈로그,CM1-XP1R,프로그램 언어,LD, IL, SFC, FBD (IEC 61131-3),
CM1 PLC 카탈로그,CM1-XP1R,내장 시리얼,RS-232C 1ch (프로그래밍용),
CM1 PLC 카탈로그,CM1-XP1R,동작 온도,-10~65°C,
CM1 PLC 카탈로그,CM1-XP1R,보존 온도,-25~80°C,
CM1 PLC 카탈로그,CM1-XP1R,상대 습도,5~95%RH (비결로),
CM1 PLC 카탈로그,CM1-XP1R,보호 등급,IP20,
CM1 PLC 카탈로그,CM1-CP3E,연산 방식,반복 연산,
CM1 PLC 카탈로그,CM1-CP3E,프로그램 언어,LD, IL, SFC, FBD (IEC 61131-3),
CM1 PLC 카탈로그,CM1-CP3E,동작 온도,-10~65°C,
CM1 PLC 카탈로그,CM1-CP3E,보존 온도,-25~80°C,
CM1 PLC 카탈로그,CM1-CP3E,상대 습도,5~95%RH (비결로),
CM1 PLC 카탈로그,CM1-CP3E,보호 등급,IP20,
CM1 PLC 카탈로그,CM1-CP4E,연산 방식,반복 연산,
CM1 PLC 카탈로그,CM1-CP4E,프로그램 언어,LD, IL, SFC, FBD (IEC 61131-3),
CM1 PLC 카탈로그,CM1-CP4E,동작 온도,-10~65°C,
CM1 PLC 카탈로그,CM1-CP4E,보존 온도,-25~80°C,
CM1 PLC 카탈로그,CM1-CP4E,상대 습도,5~95%RH (비결로),
CM1 PLC 카탈로그,CM1-CP4E,보호 등급,IP20,
CM1 PLC 카탈로그,CM1-CP4F,연산 방식,반복 연산,
CM1 PLC 카탈로그,CM1-CP4F,프로그램 언어,LD, IL, SFC, FBD (IEC 61131-3),
CM1 PLC 카탈로그,CM1-CP4F,동작 온도,-10~65°C,
CM1 PLC 카탈로그,CM1-CP4F,보존 온도,-25~80°C,
CM1 PLC 카탈로그,CM1-CP4F,상대 습도,5~95%RH (비결로),
CM1 PLC 카탈로그,CM1-CP4F,보호 등급,IP20,
CM3 PLC 카탈로그,CM3-SP32MDTF,프로그램 용량,32K Step,
CM3 PLC 카탈로그,CM3-SP32MDTF,타이머/카운터,각 512점,
CM3 PLC 카탈로그,CM3-SP32MDTF,전원 전압,DC 12V ~ 24V,
CM3 PLC 카탈로그,CM3-SP32MDTF,동작 온도,-10~65°C,
CM3 PLC 카탈로그,CM3-SP32MDTF,보존 온도,-25~80°C,
CM3 PLC 카탈로그,CM3-SP32MDTF,상대 습도,5~95%RH (비결로),
CM3 PLC 카탈로그,CM3-SP32MDTF,보호 등급,IP20,
CM3 PLC 카탈로그,CM3-SP32MDTF,프로그램 언어,LD, IL, SFC, FBD (IEC 61131-3),
CM3 PLC 카탈로그,CM3-SP32MDCF,프로그램 용량,32K Step,
CM3 PLC 카탈로그,CM3-SP32MDCF,타이머/카운터,각 512점,
CM3 PLC 카탈로그,CM3-SP32MDCF,전원 전압,DC 12V ~ 24V,
CM3 PLC 카탈로그,CM3-SP32MDCF,동작 온도,-10~65°C,
CM3 PLC 카탈로그,CM3-SP32MDCF,보존 온도,-25~80°C,
CM3 PLC 카탈로그,CM3-SP32MDCF,상대 습도,5~95%RH (비결로),
CM3 PLC 카탈로그,CM3-SP32MDCF,보호 등급,IP20,
CM3 PLC 카탈로그,CM3-SP32MDCF,프로그램 언어,LD, IL, SFC, FBD (IEC 61131-3),
CM3 PLC 카탈로그,CM3-SP16MDRF,프로그램 용량,32K Step,
CM3 PLC 카탈로그,CM3-SP16MDRF,타이머/카운터,각 512점,
CM3 PLC 카탈로그,CM3-SP16MDRF,전원 전압,DC 12V ~ 24V,
CM3 PLC 카탈로그,CM3-SP16MDRF,동작 온도,-10~65°C,
CM3 PLC 카탈로그,CM3-SP16MDRF,보존 온도,-25~80°C,
CM3 PLC 카탈로그,CM3-SP16MDRF,상대 습도,5~95%RH (비결로),
CM3 PLC 카탈로그,CM3-SP16MDRF,보호 등급,IP20,
CM3 PLC 카탈로그,CM3-SP16MDRF,프로그램 언어,LD, IL, SFC, FBD (IEC 61131-3),
CM3 PLC 카탈로그,CM3-SP32MDTV,프로그램 용량,32K Step,
CM3 PLC 카탈로그,CM3-SP32MDTV,타이머/카운터,각 512점,
CM3 PLC 카탈로그,CM3-SP32MDTV,전원 전압,DC 12V ~ 24V,
CM3 PLC 카탈로그,CM3-SP32MDTV,동작 온도,-10~65°C,
CM3 PLC 카탈로그,CM3-SP32MDTV,보존 온도,-25~80°C,
CM3 PLC 카탈로그,CM3-SP32MDTV,상대 습도,5~95%RH (비결로),
CM3 PLC 카탈로그,CM3-SP32MDTV,보호 등급,IP20,
CM3 PLC 카탈로그,CM3-SP32MDTV,프로그램 언어,LD, IL, SFC, FBD (IEC 61131-3),
CM3 PLC 카탈로그,CM3-SP32MDCV,프로그램 용량,32K Step,
CM3 PLC 카탈로그,CM3-SP32MDCV,타이머/카운터,각 512점,
CM3 PLC 카탈로그,CM3-SP32MDCV,전원 전압,DC 12V ~ 24V,
CM3 PLC 카탈로그,CM3-SP32MDCV,동작 온도,-10~65°C,
CM3 PLC 카탈로그,CM3-SP32MDCV,보존 온도,-25~80°C,
CM3 PLC 카탈로그,CM3-SP32MDCV,상대 습도,5~95%RH (비결로),
CM3 PLC 카탈로그,CM3-SP32MDCV,보호 등급,IP20,
CM3 PLC 카탈로그,CM3-SP32MDCV,프로그램 언어,LD, IL, SFC, FBD (IEC 61131-3),
CM3 PLC 카탈로그,CM3-SP16MDRV,프로그램 용량,32K Step,
CM3 PLC 카탈로그,CM3-SP16MDRV,타이머/카운터,각 512점,
CM3 PLC 카탈로그,CM3-SP16MDRV,전원 전압,DC 12V ~ 24V,
CM3 PLC 카탈로그,CM3-SP16MDRV,동작 온도,-10~65°C,
CM3 PLC 카탈로그,CM3-SP16MDRV,보존 온도,-25~80°C,
CM3 PLC 카탈로그,CM3-SP16MDRV,상대 습도,5~95%RH (비결로),
CM3 PLC 카탈로그,CM3-SP16MDRV,보호 등급,IP20,
CM3 PLC 카탈로그,CM3-SP16MDRV,프로그램 언어,LD, IL, SFC, FBD (IEC 61131-3),
CM3 PLC 카탈로그,CM3-SB32MDTF,프로그램 용량,32K Step,
CM3 PLC 카탈로그,CM3-SB32MDTF,타이머/카운터,각 512점,
CM3 PLC 카탈로그,CM3-SB32MDTF,전원 전압,DC 20V ~ 24V,
CM3 PLC 카탈로그,CM3-SB32MDTF,동작 온도,-10~65°C,
CM3 PLC 카탈로그,CM3-SB32MDTF,보존 온도,-25~80°C,
CM3 PLC 카탈로그,CM3-SB32MDTF,보호 등급,IP20,
CM3 PLC 카탈로그,CM3-SB32MDTF,프로그램 언어,LD, IL, SFC, FBD (IEC 61131-3),
CM3 PLC 카탈로그,CM3-SB32MDCF,프로그램 용량,32K Step,
CM3 PLC 카탈로그,CM3-SB32MDCF,타이머/카운터,각 512점,
CM3 PLC 카탈로그,CM3-SB32MDCF,전원 전압,DC 20V ~ 24V,
CM3 PLC 카탈로그,CM3-SB32MDCF,동작 온도,-10~65°C,
CM3 PLC 카탈로그,CM3-SB32MDCF,보존 온도,-25~80°C,
CM3 PLC 카탈로그,CM3-SB32MDCF,보호 등급,IP20,
CM3 PLC 카탈로그,CM3-SB32MDCF,프로그램 언어,LD, IL, SFC, FBD (IEC 61131-3),
CM3 PLC 카탈로그,CM3-SB32MDRF,프로그램 용량,32K Step,
CM3 PLC 카탈로그,CM3-SB32MDRF,타이머/카운터,각 512점,
CM3 PLC 카탈로그,CM3-SB32MDRF,전원 전압,DC 20V ~ 24V,
CM3 PLC 카탈로그,CM3-SB32MDRF,동작 온도,-10~65°C,
CM3 PLC 카탈로그,CM3-SB32MDRF,보존 온도,-25~80°C,
CM3 PLC 카탈로그,CM3-SB32MDRF,보호 등급,IP20,
CM3 PLC 카탈로그,CM3-SB32MDRF,프로그램 언어,LD, IL, SFC, FBD (IEC 61131-3),
CM3 PLC 카탈로그,CM3-SB16MDTF,프로그램 용량,32K Step,
CM3 PLC 카탈로그,CM3-SB16MDTF,타이머/카운터,각 512점,
CM3 PLC 카탈로그,CM3-SB16MDTF,전원 전압,DC 12V ~ 24V,
CM3 PLC 카탈로그,CM3-SB16MDTF,동작 온도,-10~65°C,
CM3 PLC 카탈로그,CM3-SB16MDTF,보존 온도,-25~80°C,
CM3 PLC 카탈로그,CM3-SB16MDTF,보호 등급,IP20,
CM3 PLC 카탈로그,CM3-SB16MDTF,프로그램 언어,LD, IL, SFC, FBD (IEC 61131-3),
CM3 PLC 카탈로그,CM3-SB16MDCF,프로그램 용량,32K Step,
CM3 PLC 카탈로그,CM3-SB16MDCF,타이머/카운터,각 512점,
CM3 PLC 카탈로그,CM3-SB16MDCF,전원 전압,DC 12V ~ 24V,
CM3 PLC 카탈로그,CM3-SB16MDCF,동작 온도,-10~65°C,
CM3 PLC 카탈로그,CM3-SB16MDCF,보존 온도,-25~80°C,
CM3 PLC 카탈로그,CM3-SB16MDCF,보호 등급,IP20,
CM3 PLC 카탈로그,CM3-SB16MDCF,프로그램 언어,LD, IL, SFC, FBD (IEC 61131-3),
CM3 PLC 카탈로그,CM3-SP32PDTF,프로그램 용량,32K Step,
CM3 PLC 카탈로그,CM3-SP32PDTF,타이머/카운터,각 512점,
CM3 PLC 카탈로그,CM3-SP32PDTF,전원 전압,DC 12V ~ 24V,
CM3 PLC 카탈로그,CM3-SP32PDTF,동작 온도,-20~70°C,
CM3 PLC 카탈로그,CM3-SP32PDTF,보존 온도,-25~80°C,
CM3 PLC 카탈로그,CM3-SP32PDTF,보호 등급,IP20,
CM3 PLC 카탈로그,CM3-SP32PDTF,프로그램 언어,LD, IL, SFC, ST, FBD (IEC 61131-3),
CM3 PLC 카탈로그,CM3-SP32PDTF,RS485,1ch,
CM3 PLC 카탈로그,CM3-SP32PDTF,SD Card,지원,
CM3 PLC 카탈로그,CM3-SP32PDCF,프로그램 용량,32K Step,
CM3 PLC 카탈로그,CM3-SP32PDCF,타이머/카운터,각 512점,
CM3 PLC 카탈로그,CM3-SP32PDCF,전원 전압,DC 12V ~ 24V,
CM3 PLC 카탈로그,CM3-SP32PDCF,동작 온도,-20~70°C,
CM3 PLC 카탈로그,CM3-SP32PDCF,보존 온도,-25~80°C,
CM3 PLC 카탈로그,CM3-SP32PDCF,보호 등급,IP20,
CM3 PLC 카탈로그,CM3-SP32PDCF,프로그램 언어,LD, IL, SFC, ST, FBD (IEC 61131-3),
CM3 PLC 카탈로그,CM3-SP32PDCF,RS485,1ch,
CM3 PLC 카탈로그,CM3-SP32PDCF,SD Card,지원,
CM3 PLC 카탈로그,CM3-SP16PDRF,프로그램 용량,32K Step,
CM3 PLC 카탈로그,CM3-SP16PDRF,타이머/카운터,각 512점,
CM3 PLC 카탈로그,CM3-SP16PDRF,전원 전압,DC 12V ~ 24V,
CM3 PLC 카탈로그,CM3-SP16PDRF,동작 온도,-20~70°C,
CM3 PLC 카탈로그,CM3-SP16PDRF,보존 온도,-25~80°C,
CM3 PLC 카탈로그,CM3-SP16PDRF,보호 등급,IP20,
CM3 PLC 카탈로그,CM3-SP16PDRF,프로그램 언어,LD, IL, SFC, ST, FBD (IEC 61131-3),
CM3 PLC 카탈로그,CM3-SP16PDRF,RS485,1ch,
CM3 PLC 카탈로그,CM3-SP16PDRF,SD Card,지원,
CM1 PLC 카탈로그,CM1-SPC,동작 온도,-10~65°C,
CM1 PLC 카탈로그,CM1-SP2B,동작 온도,-10~65°C,
CM1 PLC 카탈로그,CM1-SPW,동작 온도,-10~65°C,
CM1 PLC 카탈로그,CM1-BS03A,동작 온도,-10~65°C,
CM1 PLC 카탈로그,CM1-BS04A,동작 온도,-10~65°C,
CM1 PLC 카탈로그,CM1-BS05A,동작 온도,-10~65°C,
CM1 PLC 카탈로그,CM1-BS08A,동작 온도,-10~65°C,
CM1 PLC 카탈로그,CM1-BS10A,동작 온도,-10~65°C,
CM1 PLC 카탈로그,CM1-BS12A,동작 온도,-10~65°C,
CM1 PLC 카탈로그,CM1-AD08V,최대 분해능,14bit (16384 분할),
CM1 PLC 카탈로그,CM1-AD08V,동작 온도,-10~65°C,
CM1 PLC 카탈로그,CM1-AD08I,최대 분해능,14bit (16384 분할),
CM1 PLC 카탈로그,CM1-AD08I,동작 온도,-10~65°C,
CM1 PLC 카탈로그,CM1-AD08VI,최대 분해능,14bit (16384 분할),
CM1 PLC 카탈로그,CM1-AD08VI,동작 온도,-10~65°C,
CM1 PLC 카탈로그,CM1-AD16VI,최대 분해능,14bit (16384 분할),
CM1 PLC 카탈로그,CM1-AD16VI,동작 온도,-10~65°C,
CM1 PLC 카탈로그,CM1-AD04VI,최대 분해능,14bit (16384 분할),
CM1 PLC 카탈로그,CM1-AD04VI,동작 온도,-10~65°C,
CM1 PLC 카탈로그,CM1-AD04W,최대 분해능,16bit (65536 분할),
CM1 PLC 카탈로그,CM1-AD04W,동작 온도,-10~65°C,
CM1 PLC 카탈로그,CM1-DA04V,동작 온도,-10~65°C,
CM1 PLC 카탈로그,CM1-DA04VA,동작 온도,-10~65°C,
CM1 PLC 카탈로그,CM1-DA08V,동작 온도,-10~65°C,
CM1 PLC 카탈로그,CM1-DA08VA,동작 온도,-10~65°C,
CM1 PLC 카탈로그,CM1-DA04I,동작 온도,-10~65°C,
CM1 PLC 카탈로그,CM1-DA08I,동작 온도,-10~65°C,
CM1 PLC 카탈로그,CM1-RD04A,동작 온도,-10~65°C,
CM1 PLC 카탈로그,CM1-RD04B,동작 온도,-10~65°C,
CM1 PLC 카탈로그,CM1-TC04A,동작 온도,-10~65°C,
CM1 PLC 카탈로그,CM1-TH08A,동작 온도,-10~65°C,
CM1 PLC 카탈로그,CM1-SC02A,통신 속도,최대 115.2kbps,
CM1 PLC 카탈로그,CM1-SC02A,프로토콜,CIMON, Modbus RTU/ASCII, 사용자 정의,
CM1 PLC 카탈로그,CM1-SC02A,동작 온도,-10~65°C,
CM1 PLC 카탈로그,CM1-SC01A,통신 속도,최대 115.2kbps,
CM1 PLC 카탈로그,CM1-SC01A,프로토콜,CIMON, Modbus RTU/ASCII, 사용자 정의,
CM1 PLC 카탈로그,CM1-SC01A,동작 온도,-10~65°C,
CM1 PLC 카탈로그,CM1-SC01B,통신 속도,최대 115.2kbps,
CM1 PLC 카탈로그,CM1-SC01B,프로토콜,CIMON, Modbus RTU/ASCII, 사용자 정의,
CM1 PLC 카탈로그,CM1-SC01B,동작 온도,-10~65°C,
CM1 PLC 카탈로그,CM1-SC02C,통신 속도,최대 115.2kbps,
CM1 PLC 카탈로그,CM1-SC02C,프로토콜,CIMON, Modbus RTU/ASCII, 사용자 정의,
CM1 PLC 카탈로그,CM1-SC02C,동작 온도,-10~65°C,
CM1 PLC 카탈로그,CM1-EC10A,프로토콜,CIMON, Modbus TCP, OPC DA,
CM1 PLC 카탈로그,CM1-EC10A,동작 온도,-10~65°C,
CM1 PLC 카탈로그,CM1-EC10B,프로토콜,CIMON, Modbus TCP, OPC DA,
CM1 PLC 카탈로그,CM1-EC10B,동작 온도,-10~65°C,
CM1 PLC 카탈로그,CM1-EC10C,프로토콜,CIMON, Modbus TCP, OPC DA,
CM1 PLC 카탈로그,CM1-EC10C,동작 온도,-10~65°C,
CM1 PLC 카탈로그,CM1-EC10OPC,동작 온도,-10~65°C,
CM1 PLC 카탈로그,CM0-DM,용도,베이스 빈 슬롯 마감용 더미 모듈,
CM1 PLC 카탈로그,CM0-DM,호환,CM1 시리즈 베이스 전체,
CM3 PLC 카탈로그,CM3-SP01EET,프로토콜,CIMON, Modbus TCP,
CM3 PLC 카탈로그,CM3-SP02ERS,통신 속도,최대 115.2kbps,
CM3 PLC 카탈로그,CM3-SP02ERS,프로토콜,CIMON, Modbus RTU/ASCII, 사용자 정의,
CM3 PLC 카탈로그,CM3-SP02ERR,통신 속도,최대 115.2kbps,
CM3 PLC 카탈로그,CM3-SP02ERR,프로토콜,CIMON, Modbus RTU/ASCII, 사용자 정의,
CM3 PLC 카탈로그,CM0-TB32M (CM3용),형태,멀티 단자 블록 (Multi-Terminal Block),
CM3 PLC 카탈로그,CM0-TB32M (CM3용),호환,CM3 시리즈 I/O 확장 모듈,
IPC 카탈로그,iNT(iNP)510-A/D,방수,IP65 (전면 패널),
IPC 카탈로그,iNT(iNP)512-A/D,방수,IP65 (전면 패널),
IPC 카탈로그,iNT(iNP)512-A/D,OS,Windows 10/11 IoT Enterprise,
IPC 카탈로그,iNT(iNP)515-A/D,방수,IP65 (전면 패널),
